"Reference","Qty","MANUFACTURER"
"BZ1,BZ3,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J14,R1,R2,TP1,TP4,U3","20",""
"C1","1","490-14457-1-ND"
"C2,C11,C13","3","490-10476-1-ND"
"C3","1","490-10697-1-ND"
"C4,C6,C7","3","490-6473-1-ND"
"C5,C15","2","GRM155R61H104KE14D"
"C12,C14","2","490-GRM188R61E225KA12JCT-ND"
"D1,D2,D3,D4","4","846-RB168MM-30CT-ND"
"D5","1","F2715CT-ND"
"D6","1","SMF17A_R1_00001"
"D7","1","B1931NG--20D001114U1930"
"J13","1","USB4145-03-0170-C"
"L1","1","732-10745-1-ND"
"L2,L3","2","587-2947-1-ND"
"Q1,Q8,Q9","3","PMV15UNEAR"
"Q3,Q4,Q10","3","SI7149ADP-T1-GE3"
"R3","1","P61.9KLCT-ND"
"R4","1","P20.0KLCT-ND"
"R5,R8,R14,R20","4","P10.0KLCT-ND"
"R6,R7,R10,R11,R12,R13","6","P5.1KDECT-ND"
"R9","1","ERJ-2RKF3300X"
"R16,R18","2","P3.01KLCT-ND"
"R17,R19","2","P33.2KLCT-ND"
"R25","1","ERJ-U02J105X"
"R26","1","ERA-2AED104X"
"SW1,SW2","2","434133025816"
"U1","1","1965-ESP32-S3-MINI-1-N8CT-ND"
"U2","1","TPS560200DBVR"
"U7,U8","2","TPS92511DDA"
