Designator,Footprint,Quantity,Value,LCSC Part #
"BZ1, BZ3",Buzzer_12x9.5RM7.6,2,Buzzer,
C1,0402,1,1u,
"C11, C13",0603,2,22uF,
"C12, C14",0603,2,2.2u,
C15,0402,1,.1u,
C2,0603,1,22u,
"C3, C5",0402,2,0.1u,
"C4, C6, C7",0805,3,10u,
"D1, D2, D3, D4",D_SOD-123F,4,D,
D5,SOT-143,1,SP0503BAHTG,
D6,D_SOD-123F,1,SMF17A,
D7,0603,1,LED,
"J1, J7",AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,2,XT60PW-F,
"J10, J11, J8, J9",PinHeader_1x03_P2.54mm_Vertical,4,Conn_01x03_Pin,
"J12, J3",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,2,Conn_01x05_Socket,
J13,GCT_USB4145-03-0170-C_REVA2,1,USB4145-03-0170-C_REVA2,
"J14, J5",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Socket,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J4,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,XT60PW-M,
J6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Socket,
L1,L_Wurth_WE-LQSH-2010,1,10u,
"L2, L3",L_Taiyo-Yuden_NR-60xx,2,100u,
"Q1, Q8, Q9",SOT-23,3,Q_NMOS_GSD,
"Q10, Q3, Q4",PowerPAK_SO-8_Single,3,PMOS,
"R1, R2",0402,2,DNP,
"R10, R11, R12, R13, R6, R7",0402,6,5.1k,
"R14, R20, R5, R8",0402,4,10k,
"R16, R18",0402,2,3.01k,
"R17, R19",0402,2,33.2k,
R25,0402,1,1M,
R26,0402,1,100k,
R3,0402,1,61.9k,
R4,0402,1,20k,
R9,0402,1,330,
SW1,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,OFF,
SW2,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,ON,
"TP1, TP4",TestPoint_Pad_D1.5mm,2,TestPoint,
U1,XCVR_ESP32-S3-MINI-1-N8,1,ESP32-S3-MINI-1-N8,
U2,SOT-23-5,1,~,
U3,LED_WS2812B-B,1,WS2812B-B,
"U7, U8",TI_SO-PowerPAD-8_ThermalVias,2,~,
