Designator,Mid X,Mid Y,Rotation,Layer
BZ1,123.0,-100.5,90.0,top
BZ3,126.0,-113.0,90.0,top
C1,145.475,-96.0,0.0,top
C11,106.0,-117.5,0.0,top
C12,104.0,-111.0,270.0,top
C13,114.48,-117.5,0.0,top
C14,112.5,-110.98,270.0,top
C15,112.5,-71.0,270.0,top
C2,143.5,-75.0,0.0,top
C3,143.475,-76.5,0.0,top
C4,135.5,-68.52,90.0,top
C5,133.5,-68.02,90.0,top
C6,121.0,-68.52,90.0,top
C7,123.5,-68.52,90.0,top
D1,135.0,-73.02,270.0,top
D2,132.0,-73.02,270.0,top
D3,105.5,-107.5,0.0,top
D4,114.0,-107.5,0.0,top
D5,144.0,-114.5,270.0,top
D6,137.8625,-68.97,90.0,top
D7,123.5,-72.5,90.0,top
J1,126.0,-51.5,0.0,top
J10,108.0,-78.025,0.0,top
J11,110.5,-78.025,0.0,top
J12,110.525,-92.25,90.0,top
J13,149.5,-114.5,90.0,top
J14,139.0,-102.975,90.0,top
J2,137.0,-64.5,90.0,top
J3,103.525,-92.25,90.0,top
J4,109.0,-51.0,0.0,top
J5,144.0,-68.22,0.0,top
J6,138.99,-108.5,0.0,top
J7,143.0,-51.5,0.0,top
J8,113.0,-78.025,0.0,top
J9,102.0,-77.985,0.0,top
L1,126.5,-69.52,180.0,top
L2,104.5,-102.5,0.0,top
L3,113.0,-102.5,0.0,top
Q1,119.5,-92.0,90.0,top
Q10,103.0,-65.31,180.0,top
Q3,115.0,-65.31,180.0,top
Q4,109.0,-65.31,180.0,top
Q8,116.0,-92.0,90.0,top
Q9,117.0,-72.0,0.0,top
R10,137.99,-100.5,180.0,top
R11,143.485,-118.25,270.0,top
R12,145.485,-118.25,270.0,top
R13,140.49,-100.5,180.0,top
R14,117.01,-74.5,0.0,top
R16,109.0,-117.5,180.0,top
R17,109.99,-108.5,180.0,top
R18,117.49,-117.5,180.0,top
R19,118.51,-108.5,180.0,top
R20,116.5,-89.0,180.0,top
R25,113.5,-73.0,180.0,top
R26,114.0,-71.0,270.0,top
R3,133.0,-64.52,270.0,top
R4,131.0,-65.02,180.0,top
R5,144.475,-94.5,0.0,top
R6,110.0,-107.0,0.0,top
R7,118.5,-107.0,0.0,top
R8,120.0,-89.0,180.0,top
R9,123.5,-75.0,270.0,top
SW1,149.5,-73.0,270.0,top
SW2,149.5,-65.0,90.0,top
U1,138.975,-85.5,270.0,top
U2,130.5,-67.52,180.0,top
U3,126.0,-90.5,0.0,top
U7,107.5,-113.0,90.0,top
U8,116.0,-113.0,90.0,top
